"DisplayName","UserPrincipalName","AccountEnabled","UserType","CreatedDateTime"
"Alex Brown","abrown@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Avery Davis","adavis@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Alex Davis","adavis01@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Alex Garcia","agarcia@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Avery Gonzalez","agonzalez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Alex Gonzalez","agonzalez01@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Avery Lopez","alopez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Avery Moore","amoore@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Alex Wilson","awilson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Blake Garcia","bgarcia@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Blake Lee","blee@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Blake Smith","bsmith@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Casey Hernandez","chernandez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Cameron Hernandez","chernandez01@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Cameron Jackson","cjackson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Cameron Miller","cmiller@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Casey Thomas","cthomas@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Casey Wilson","cwilson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Drew Garcia","dgarcia@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Drew Johnson","djohnson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Drew Lopez","dlopez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Drew Rodriguez","drodriguez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Drew Wilson","dwilson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Emerson Lee","elee@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Emerson Miller","emiller@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Finley Brown","fbrown@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Finley Johnson","fjohnson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Finley Moore","fmoore@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Finley Wilson","fwilson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
